Text,Emotion
"Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore",amusement
@DavidArchie &lt;3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform,amusement
RIP leonardo. You were a great mini fiddler crab,amusement
@IdleThumbs Up is out?  I didn't get the memo   It looks amazing.,amusement
@relly1  OMG Ur alive!!! LOL  2day has gone sooo slow  I'm going insane Grrr You doing anything tonight?,amusement
"@JessiJaeJoplin did you get them from california vintage? ahahah they have the BEST dresses, i want them but i dont have ebay",amusement
(@wendyisastar) @melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.,amusement
@OooChelcyooO That's awesome! We have that this weekend too but I can't go because I'm moving this Sat.  I should be a lot of fun though,amusement
"i should be finished.... but i'm not.  color drawing, here i come.",amusement
@plantweb  Lettuce &amp; spinach does best in cool weather.. I live in florida..not much luck growing those..,amusement
@JetWolf I know I enjoy watching you two on twitter. About as entertaining as the comic.  That I miss,amusement
My BFF rocking Hotel California now. No @NKOTB songs!  done stay the same. What's next? Hmmm.. Careless whisper!,amusement
@BriannaBanshee such a dissapointment  hhaha,amusement
"creeped it up at the ice cream social! good times. lars and the real girl, such a sad movie",amusement
was playing street fighter IV and Seth Raped me,amusement
must clear out my DVR... getting rid of it tomorrw.,amusement
@Jukie_08 hell yeah! i missed u last nite  lol do u like my opinion?,amusement
i wish i was at @angelcore's burning trees and trying on dresses...,amusement
I just spent 2 hours playing TF2 and I don't think I'm any better at it than when I started.,amusement
is it unny today or not? taking too long to decide haha. i wna get a tan,amusement
"I just watched 7 pounds, maaaannnnnnnnn!",amusement
so much fun at the beach today!  and delicious dinner at @kimbononowowo's house!! i friggin love Mark and Josh!! I'm gonna miss them!!,amusement
@OXtravaganza and I was just gonna ask you if you wanted to go to CLUB Hidden House on sat night. hehe.,amusement
@TerrenceJ106  aww-that's my last one. Roo-Oop,amusement
@ghozali actually I'd prefer a rum or gin but don't have have any as I've preferred them too much previously,amusement
@kevindavis1914 @taylorblack said no  ...she'll b @ home in 5mins to tweet u lol,amusement
i really want a blackberry  my sidekick is hella wack. night,amusement
Listening to some nice music.. I think I should go to bed now so I get nice and rested but i'll miss Russel Brand's Ponderland,amusement
EXPECTO PATRONUM!!! ----- nothing happens..,amusement
Walking to work on a gloriously sunny day. Going to be a good weekend in which I will burn as always even with suncream on  #fb,amusement
@joanne7964 yeah I was like oh oh oh yeah that's it but then she said no  lol bummer,amusement
@ThatPaigeKid haha so your having father daugter bonding time? Lol anyways I g2g work get on msn later I'll be bored  x,amusement
@amyypee LOL i know! i only get to read it sometimes though cos my dad always chucks it out before he gets home,amusement
@DoeMarley SOMEBODY ACTUALLY TOLD ME THAT!!  LOL,amusement
Is constantly listening to the @Jonasbrothers song Fly with Me...b/c it's the cutest song...&quot;Peter Pan &amp; Wendy turned out fine&quot;,amusement
"@sweetavalanche lol yeah  haha. yeah, things are okay, pretty much the same. slowly sorting out everything lol. exams are coming D: haha",amusement
"http://twitpic.com/6661g - is on her last day at METRO magazine  Ta-ta, dream job. (PS: June issue out now. Czech it out!)",amusement
@twebbstack nuhhhh no info on ticketek yet  Heaps excited though! I dont care how much but I hope it isn't too much..,amusement
"Want to get my hands dirty with FubuMVC. http://bit.ly/J00ha, but the document is not yet complete",amusement
@Knightpkf Yay! Thank you.. Feels like ur yelling at us   LOL,amusement
there are # days of summervac &amp; school comes along just 2 end it &amp; the annual problem of r generation is finding a good way 2 spend it!!,amusement
@lesleyroy haha! nice! Have fun doll! Hopefully I'll see ya soon! I miss ur face!,amusement
yummy chocolate cake..wish even i got one for my b'day!!   anybody listening???,amusement
@SplashAdams ill be alright but the whip may not,amusement
@kimberly__joy i feel like red lea now,amusement
Five o'clock can't come any faster,amusement
Planning a road trip down to San Diego- With a detour into Vegas to celebrate my birthday! Too bad it's 7 wks away  I want to go now!,amusement
@JBFutureboy lucky kid...i so wanna see loserville  pity im in oz....,amusement
"i didn't have fun at the club tonight, had a lot on my mind",amusement
"@Bass_ Heading off to Poole around 4ish, @LucyKD has some serious gardening to do before we go, no Tweetdeck til Sunday evening,",amusement
"I'm saying goodbye to Sydney for a few days, and Hello to Rapeville.... I'll miss pretty",amusement
This is great curl-up-in-a-ball-and-read later. I wish I had a book.,amusement
@heyennovy haha we had balcony seats  not that great. there's a giant dragon thing that has glowing red eyes and moves its wings!,amusement
@theJBs @wearecutaways  We were all set to get a room last Saturday! I can't apologise enough for missing out Deccy,amusement
@aravindkumar Whats up today..? missed the #coffeeclub that day,amusement
I wanna see the Jonas Brothers in concert..,amusement
Why can't I see WHITE SOX players @ random bars I go to.. NOT Cubs players  waaah,amusement
"All alone in this old house again.  Thanks for the net which keeps me alive and kicking! Whoever invented the net, i wanna kiss your hair!",amusement
@QueenKelso dooood! it is working! tea time later? are you working tonight?,amusement
"@shanzer22  you're missing out, bb! i'm such a cereal nut, i think i like every kind available.",amusement
@Banette_ good to be back! It's really late though and I just got back from scaring some people and I'm pleased but really tired,amusement
morning all....beautiful day...best go enjoy some sunshine before i have to go to work...unfortunately,amusement
"@eljefe1401 oh, joy. We have the Elmo potty video too.",amusement
leather shoes and bags are so hard to resist..,amusement
@StorIbook8 I see. Lol. I'll make it fun for you to follow me tomorrow...I have to go to bed now.,amusement
I want to play parachute games.,amusement
What a beautiful day! Going to edit Lisa Maxwell interview from her last day at The Bill now. Shame I can't see my laptop screen outside,amusement
"@ashetler I've totally been MIA, i know  bad me",amusement
@DJIronik hmm....well it aint that hot in hull lol   xx,amusement
"Just found out my kitty isn't pregnant  its a good thing though, we are going to adopt one instead",amusement
Working at home  Wifi not reaching the garden,amusement
Goin 2 eat some SMACKS 4 breakfast then getting started on my day- catch ya on the flipside- I really wish I cud go mobile-dang Bahrain,amusement
@Moyo88 oh no! I woke up accidentally.  how can we get you to fall asleep? Should I scare you with P2 or P3 stories? JK!,amusement
@jodieharsh Ahhh so Jealous!  Have a nice time and I'll see you when you get back x,amusement
"I'm not looking forward to working over the next 8 days! Come next Sunday, I may or may not be dead",amusement
"@sweetkisses277 Yup, 1987 lol. SWEET YEAR  haha",amusement
Ive finished 4th year!!! Argh Uni is going soooooo quick,amusement
home sweet home? i think no! huaaaa,amusement
TWEEEEEET! good morning twitterland! going to work at 1 so need to keep packing and cleaning this flat! move out in t minus one day,amusement
yay cheerleading when im sick. its gonna be a fun  night peoples,amusement
@jennyreyn Fail.    If you fancy a pit stop and a cuppa you know where I am!  lol,amusement
Ulcer the Musical! It's ulcer-rific! uls-tacular?! Stomach bleeding fun for the whole family!! (apparently even two drinks is a no no),amusement
@DJstweet I know... It was just a joke... all in good fun...  some people get my humor &amp; some don't...,amusement
http://twitpic.com/66ltb - Finito~! Hunk Ah Hunk of Burning Love! I do believe my camera phone is stuffed. Stupid blurryness,amusement
