Text,Emotion
im grabbing a minute to post i feel greedy wrong,anger
i am feeling grouchy,anger
i think it s the easiest time of year to feel dissatisfied,anger
i feel irritated and rejected without anyone doing anything or saying anything,anger
i already feel like i fucked up though because i dont usually eat at all in the morning,anger
i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp,anger
i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day,anger
i feel a bit rude writing to an elderly gentleman to ask for gifts because i feel a bit greedy but what is christmas about if not mild greed,anger
i stopped feeling cold and began feeling hot,anger
i feel selfish and spoiled,anger
i feel selfish as i read back to my former posts how i have never asked for prayers for others how i never considered that there may be others out there that deserve their prayers answered before my own,anger
i know the pain parents feel when an enraged child becomes violent,anger
i feel angered and firey,anger
i feel like i need to make a list leanne would be appalled at the thought so that i dont miss anything,anger
i drove dannika to school i was feeling a little bit rushed and this is what greeted me as i turned the corner,anger
i remember feeling so hellip furious with the shooter,anger
im feeling bitter today my mood has been strange the entire day so i guess its that,anger
i am letting go of the animosity that is towards anyone that i feel has wronged me,anger
i say goodbye to the fam theyre all sad a crying and i feel like a heartless bitch because hey im pretty excited to be flying for the first time and you know also to spend a year in another country,anger
i wanted to get a pumpkin spice latte this morning but it was hot and the last thing i wanted was a hot coffee maybe i am feeling a little bitter,anger
i also feel like i am being selfish in not being grateful for the life i do have and the amazing things in it,anger
i don t know why perhaps because other girls in the office had nice short hair or perhaps i was just feeling rebellious,anger
i just feel really violent right now,anger
i feel disgusted to even be associated with this woman by my race and nationality,anger
i laughed then bitterly again but i wasnt feeling bitter,anger
i say whatever comes in my mind tell you directly what i feel a jealous girl not because i m insecure but because i just love that person a trust worthy friend sweet to the one i love,anger
im clearly influenced by the dash happiness of emily dickinson for example and i use dashes instead of colons or semi colons to enhance the feelings of rushed enjambment in the sonnet,anger
i could claim to redeem the genre but it didn t leave me feeling as entirely frustrated to the point of beating my head against a wall either,anger
i know there are days in which you feel distracted,anger
im feeling distracted i tend to practice with my eyes shut as much as possible,anger
i have to revise my replies over and over again in my mind just to make sure that the reply sounds appropriate enough and that the person who receive the reply will not feel offended,anger
im sure its because when i am lost i feel like everyone is being hostile toward me and i hate that feeling,anger
id kick myself into gear but i just feel irritable with no motivation what so ever,anger
i will start to feel resentful,anger
i feel so fucked like everyday of my life,anger
i didn t feel like i was being bitchy at the time but upon retrospect why wouldn t he think that i was trying to shake him off,anger
i am not monitoring what i have to say about anything if you ever come across any of my blogs and feel offended please dont stop by here again,anger
im feeling cranky,anger
