{'loss': 1.3406, 'grad_norm': 1.834890365600586, 'learning_rate': 9.828638014942766e-05, 'epoch': 0.05}
{'loss': 1.2587, 'grad_norm': 1.5481857061386108, 'learning_rate': 9.65727602988553e-05, 'epoch': 0.1}
{'loss': 1.244, 'grad_norm': 2.3869051933288574, 'learning_rate': 9.485914044828296e-05, 'epoch': 0.15}
{'loss': 1.2595, 'grad_norm': 2.1655049324035645, 'learning_rate': 9.314552059771061e-05, 'epoch': 0.21}
{'loss': 1.2537, 'grad_norm': 2.0203359127044678, 'learning_rate': 9.143190074713825e-05, 'epoch': 0.26}
{'loss': 1.2494, 'grad_norm': 1.8398427963256836, 'learning_rate': 8.97182808965659e-05, 'epoch': 0.31}
{'loss': 1.262, 'grad_norm': 1.5385544300079346, 'learning_rate': 8.800466104599356e-05, 'epoch': 0.36}
{'loss': 1.2011, 'grad_norm': 1.868528127670288, 'learning_rate': 8.629104119542121e-05, 'epoch': 0.41}
{'loss': 1.2606, 'grad_norm': 2.4297640323638916, 'learning_rate': 8.457742134484886e-05, 'epoch': 0.46}
{'loss': 1.2387, 'grad_norm': 2.586127281188965, 'learning_rate': 8.286380149427652e-05, 'epoch': 0.51}
{'loss': 1.2412, 'grad_norm': 2.3693950176239014, 'learning_rate': 8.115018164370415e-05, 'epoch': 0.57}
{'loss': 1.2082, 'grad_norm': 1.8765277862548828, 'learning_rate': 7.943656179313182e-05, 'epoch': 0.62}
{'loss': 1.2311, 'grad_norm': 2.44118070602417, 'learning_rate': 7.772294194255947e-05, 'epoch': 0.67}
{'loss': 1.2207, 'grad_norm': 1.336110234260559, 'learning_rate': 7.600932209198711e-05, 'epoch': 0.72}
{'loss': 1.2059, 'grad_norm': 2.292954683303833, 'learning_rate': 7.429570224141476e-05, 'epoch': 0.77}
{'loss': 1.1886, 'grad_norm': 2.4366886615753174, 'learning_rate': 7.258208239084242e-05, 'epoch': 0.82}
{'loss': 1.1839, 'grad_norm': 1.0160683393478394, 'learning_rate': 7.086846254027007e-05, 'epoch': 0.87}
{'loss': 1.229, 'grad_norm': 2.5223851203918457, 'learning_rate': 6.915484268969772e-05, 'epoch': 0.93}
{'loss': 1.1852, 'grad_norm': 1.3154503107070923, 'learning_rate': 6.744122283912537e-05, 'epoch': 0.98}
{'loss': 1.0699, 'grad_norm': 2.5751349925994873, 'learning_rate': 6.572760298855303e-05, 'epoch': 1.03}
{'loss': 1.0006, 'grad_norm': 1.6363276243209839, 'learning_rate': 6.401398313798067e-05, 'epoch': 1.08}
{'loss': 0.9676, 'grad_norm': 1.613191843032837, 'learning_rate': 6.230036328740833e-05, 'epoch': 1.13}
{'loss': 0.9921, 'grad_norm': 1.0420106649398804, 'learning_rate': 6.058674343683598e-05, 'epoch': 1.18}
{'loss': 0.9846, 'grad_norm': 2.6961472034454346, 'learning_rate': 5.887312358626362e-05, 'epoch': 1.23}
{'loss': 1.0098, 'grad_norm': 3.234097480773926, 'learning_rate': 5.7159503735691275e-05, 'epoch': 1.29}
{'loss': 0.976, 'grad_norm': 1.5878019332885742, 'learning_rate': 5.5445883885118934e-05, 'epoch': 1.34}
{'loss': 0.9885, 'grad_norm': 2.425814151763916, 'learning_rate': 5.373226403454657e-05, 'epoch': 1.39}
{'loss': 0.9584, 'grad_norm': 3.1494357585906982, 'learning_rate': 5.201864418397423e-05, 'epoch': 1.44}
{'loss': 1.0347, 'grad_norm': 1.4603554010391235, 'learning_rate': 5.0305024333401884e-05, 'epoch': 1.49}
{'loss': 0.9628, 'grad_norm': 2.300342321395874, 'learning_rate': 4.859140448282953e-05, 'epoch': 1.54}
{'loss': 0.9733, 'grad_norm': 0.9533656239509583, 'learning_rate': 4.687778463225718e-05, 'epoch': 1.59}
{'loss': 0.9952, 'grad_norm': 1.6653051376342773, 'learning_rate': 4.516416478168483e-05, 'epoch': 1.65}
{'loss': 0.9874, 'grad_norm': 2.9541332721710205, 'learning_rate': 4.345054493111249e-05, 'epoch': 1.7}
{'loss': 0.9793, 'grad_norm': 2.1819419860839844, 'learning_rate': 4.173692508054013e-05, 'epoch': 1.75}
{'loss': 1.0142, 'grad_norm': 2.1762356758117676, 'learning_rate': 4.0023305229967785e-05, 'epoch': 1.8}
{'loss': 1.0043, 'grad_norm': 3.175178289413452, 'learning_rate': 3.830968537939544e-05, 'epoch': 1.85}
{'loss': 0.9431, 'grad_norm': 2.1539764404296875, 'learning_rate': 3.6596065528823084e-05, 'epoch': 1.9}
{'loss': 0.9996, 'grad_norm': 3.5406835079193115, 'learning_rate': 3.4882445678250736e-05, 'epoch': 1.95}
{'loss': 0.9939, 'grad_norm': 1.591578722000122, 'learning_rate': 3.316882582767839e-05, 'epoch': 2.0}
{'loss': 0.7964, 'grad_norm': 4.84329080581665, 'learning_rate': 3.145520597710604e-05, 'epoch': 2.06}
{'loss': 0.7884, 'grad_norm': 1.11423921585083, 'learning_rate': 2.9741586126533693e-05, 'epoch': 2.11}
{'loss': 0.7809, 'grad_norm': 2.687483310699463, 'learning_rate': 2.8027966275961342e-05, 'epoch': 2.16}
{'loss': 0.8126, 'grad_norm': 2.6357228755950928, 'learning_rate': 2.631434642538899e-05, 'epoch': 2.21}
{'loss': 0.7896, 'grad_norm': 1.7839614152908325, 'learning_rate': 2.4600726574816644e-05, 'epoch': 2.26}
{'loss': 0.8201, 'grad_norm': 3.124429225921631, 'learning_rate': 2.2887106724244296e-05, 'epoch': 2.31}
{'loss': 0.779, 'grad_norm': 2.5369482040405273, 'learning_rate': 2.1173486873671945e-05, 'epoch': 2.36}
{'loss': 0.7999, 'grad_norm': 3.786586284637451, 'learning_rate': 1.9459867023099594e-05, 'epoch': 2.42}
{'loss': 0.8191, 'grad_norm': 2.7432641983032227, 'learning_rate': 1.7746247172527247e-05, 'epoch': 2.47}
{'loss': 0.8151, 'grad_norm': 2.3021504878997803, 'learning_rate': 1.60326273219549e-05, 'epoch': 2.52}
{'loss': 0.7986, 'grad_norm': 4.557231426239014, 'learning_rate': 1.4319007471382548e-05, 'epoch': 2.57}
{'loss': 0.8292, 'grad_norm': 3.5051231384277344, 'learning_rate': 1.2605387620810199e-05, 'epoch': 2.62}
{'loss': 0.7938, 'grad_norm': 2.2614920139312744, 'learning_rate': 1.0891767770237851e-05, 'epoch': 2.67}
{'loss': 0.8011, 'grad_norm': 3.4180142879486084, 'learning_rate': 9.178147919665502e-06, 'epoch': 2.72}
{'loss': 0.7937, 'grad_norm': 3.076787233352661, 'learning_rate': 7.464528069093154e-06, 'epoch': 2.78}
{'loss': 0.7972, 'grad_norm': 2.6340525150299072, 'learning_rate': 5.7509082185208035e-06, 'epoch': 2.83}
{'loss': 0.7927, 'grad_norm': 3.602701425552368, 'learning_rate': 4.037288367948454e-06, 'epoch': 2.88}
{'loss': 0.7762, 'grad_norm': 2.453508138656616, 'learning_rate': 2.3236685173761054e-06, 'epoch': 2.93}
{'loss': 0.8203, 'grad_norm': 3.5079731941223145, 'learning_rate': 6.100486668037563e-07, 'epoch': 2.98}
{'train_runtime': 1189.8115, 'train_samples_per_second': 24.523, 'train_steps_per_second': 24.523, 'train_loss': 1.0075121097824868, 'epoch': 3.0}
