{'loss': 1.3178, 'grad_norm': 5.357555389404297, 'learning_rate': 9.828638014942766e-05, 'epoch': 0.05}
{'loss': 1.2144, 'grad_norm': 1.932042121887207, 'learning_rate': 9.65727602988553e-05, 'epoch': 0.1}
{'loss': 1.1998, 'grad_norm': 2.6087632179260254, 'learning_rate': 9.485914044828296e-05, 'epoch': 0.15}
{'loss': 1.2178, 'grad_norm': 2.5502357482910156, 'learning_rate': 9.314552059771061e-05, 'epoch': 0.21}
{'loss': 1.2133, 'grad_norm': 2.522170066833496, 'learning_rate': 9.143190074713825e-05, 'epoch': 0.26}
{'loss': 1.2116, 'grad_norm': 2.112743616104126, 'learning_rate': 8.97182808965659e-05, 'epoch': 0.31}
{'loss': 1.2246, 'grad_norm': 1.9872510433197021, 'learning_rate': 8.800466104599356e-05, 'epoch': 0.36}
{'loss': 1.1681, 'grad_norm': 2.2369892597198486, 'learning_rate': 8.629104119542121e-05, 'epoch': 0.41}
{'loss': 1.228, 'grad_norm': 2.3721485137939453, 'learning_rate': 8.457742134484886e-05, 'epoch': 0.46}
{'loss': 1.2042, 'grad_norm': 2.64259934425354, 'learning_rate': 8.286380149427652e-05, 'epoch': 0.51}
{'loss': 1.204, 'grad_norm': 2.5303893089294434, 'learning_rate': 8.115018164370415e-05, 'epoch': 0.57}
{'loss': 1.1764, 'grad_norm': 1.9450623989105225, 'learning_rate': 7.943656179313182e-05, 'epoch': 0.62}
{'loss': 1.1978, 'grad_norm': 2.4857914447784424, 'learning_rate': 7.772294194255947e-05, 'epoch': 0.67}
{'loss': 1.188, 'grad_norm': 1.3169289827346802, 'learning_rate': 7.600932209198711e-05, 'epoch': 0.72}
{'loss': 1.1767, 'grad_norm': 2.3679425716400146, 'learning_rate': 7.429570224141476e-05, 'epoch': 0.77}
{'loss': 1.1596, 'grad_norm': 2.4608330726623535, 'learning_rate': 7.258208239084242e-05, 'epoch': 0.82}
{'loss': 1.1533, 'grad_norm': 1.0951694250106812, 'learning_rate': 7.086846254027007e-05, 'epoch': 0.87}
{'loss': 1.201, 'grad_norm': 2.651952028274536, 'learning_rate': 6.915484268969772e-05, 'epoch': 0.93}
{'loss': 1.1572, 'grad_norm': 1.3729486465454102, 'learning_rate': 6.744122283912537e-05, 'epoch': 0.98}
{'loss': 1.0435, 'grad_norm': 2.6824676990509033, 'learning_rate': 6.572760298855303e-05, 'epoch': 1.03}
{'loss': 0.9708, 'grad_norm': 1.8221708536148071, 'learning_rate': 6.401398313798067e-05, 'epoch': 1.08}
{'loss': 0.9425, 'grad_norm': 1.793769121170044, 'learning_rate': 6.230036328740833e-05, 'epoch': 1.13}
{'loss': 0.9735, 'grad_norm': 1.0103471279144287, 'learning_rate': 6.058674343683598e-05, 'epoch': 1.18}
{'loss': 0.9596, 'grad_norm': 2.6254630088806152, 'learning_rate': 5.887312358626362e-05, 'epoch': 1.23}
{'loss': 0.9869, 'grad_norm': 2.934852123260498, 'learning_rate': 5.7159503735691275e-05, 'epoch': 1.29}
{'loss': 0.9551, 'grad_norm': 1.6454896926879883, 'learning_rate': 5.5445883885118934e-05, 'epoch': 1.34}
{'loss': 0.9675, 'grad_norm': 2.3382725715637207, 'learning_rate': 5.373226403454657e-05, 'epoch': 1.39}
{'loss': 0.9399, 'grad_norm': 3.3604819774627686, 'learning_rate': 5.201864418397423e-05, 'epoch': 1.44}
{'loss': 1.0097, 'grad_norm': 1.5659376382827759, 'learning_rate': 5.0305024333401884e-05, 'epoch': 1.49}
{'loss': 0.947, 'grad_norm': 2.3325729370117188, 'learning_rate': 4.859140448282953e-05, 'epoch': 1.54}
{'loss': 0.9527, 'grad_norm': 0.9058270454406738, 'learning_rate': 4.687778463225718e-05, 'epoch': 1.59}
{'loss': 0.9743, 'grad_norm': 1.7734133005142212, 'learning_rate': 4.516416478168483e-05, 'epoch': 1.65}
{'loss': 0.9637, 'grad_norm': 3.0897364616394043, 'learning_rate': 4.345054493111249e-05, 'epoch': 1.7}
{'loss': 0.96, 'grad_norm': 2.1807405948638916, 'learning_rate': 4.173692508054013e-05, 'epoch': 1.75}
{'loss': 0.9965, 'grad_norm': 2.212613582611084, 'learning_rate': 4.0023305229967785e-05, 'epoch': 1.8}
