{'loss': 1.4956, 'grad_norm': 3.420191526412964, 'learning_rate': 9.8894783377542e-05, 'epoch': 0.06}
{'loss': 1.4168, 'grad_norm': 2.365230083465576, 'learning_rate': 9.778956675508401e-05, 'epoch': 0.11}
{'loss': 1.4356, 'grad_norm': 2.4721834659576416, 'learning_rate': 9.6684350132626e-05, 'epoch': 0.17}
{'loss': 1.4283, 'grad_norm': 3.641993761062622, 'learning_rate': 9.5579133510168e-05, 'epoch': 0.22}
{'loss': 1.4467, 'grad_norm': 2.798151969909668, 'learning_rate': 9.447391688771e-05, 'epoch': 0.28}
{'loss': 1.4177, 'grad_norm': 2.2412991523742676, 'learning_rate': 9.3368700265252e-05, 'epoch': 0.33}
{'loss': 1.4065, 'grad_norm': 2.7266271114349365, 'learning_rate': 9.2263483642794e-05, 'epoch': 0.39}
{'loss': 1.3735, 'grad_norm': 2.2428324222564697, 'learning_rate': 9.115826702033599e-05, 'epoch': 0.44}
{'loss': 1.3821, 'grad_norm': 1.8094565868377686, 'learning_rate': 9.0053050397878e-05, 'epoch': 0.5}
{'loss': 1.3561, 'grad_norm': 1.6636921167373657, 'learning_rate': 8.894783377541999e-05, 'epoch': 0.55}
{'loss': 1.3784, 'grad_norm': 2.2425754070281982, 'learning_rate': 8.784261715296198e-05, 'epoch': 0.61}
{'loss': 1.4012, 'grad_norm': 2.0260889530181885, 'learning_rate': 8.673740053050399e-05, 'epoch': 0.66}
{'loss': 1.3696, 'grad_norm': 2.2170748710632324, 'learning_rate': 8.563218390804599e-05, 'epoch': 0.72}
{'loss': 1.3851, 'grad_norm': 1.627811312675476, 'learning_rate': 8.452696728558798e-05, 'epoch': 0.77}
{'loss': 1.3802, 'grad_norm': 1.8637042045593262, 'learning_rate': 8.342175066312998e-05, 'epoch': 0.83}
{'loss': 1.3627, 'grad_norm': 1.5114672183990479, 'learning_rate': 8.231653404067197e-05, 'epoch': 0.88}
{'loss': 1.3526, 'grad_norm': 1.7855799198150635, 'learning_rate': 8.121131741821398e-05, 'epoch': 0.94}
{'loss': 1.3519, 'grad_norm': 1.6338179111480713, 'learning_rate': 8.010610079575597e-05, 'epoch': 0.99}
{'loss': 1.1465, 'grad_norm': 3.3992908000946045, 'learning_rate': 7.900088417329797e-05, 'epoch': 1.05}
{'loss': 1.1166, 'grad_norm': 2.2690210342407227, 'learning_rate': 7.789566755083996e-05, 'epoch': 1.11}
{'loss': 1.1336, 'grad_norm': 3.1528818607330322, 'learning_rate': 7.679045092838196e-05, 'epoch': 1.16}
{'loss': 1.1137, 'grad_norm': 2.5490975379943848, 'learning_rate': 7.568523430592396e-05, 'epoch': 1.22}
{'loss': 1.1459, 'grad_norm': 1.8996007442474365, 'learning_rate': 7.458001768346596e-05, 'epoch': 1.27}
{'loss': 1.1465, 'grad_norm': 2.309927225112915, 'learning_rate': 7.347480106100795e-05, 'epoch': 1.33}
{'loss': 1.0988, 'grad_norm': 1.8631192445755005, 'learning_rate': 7.236958443854996e-05, 'epoch': 1.38}
{'loss': 1.1523, 'grad_norm': 2.612071990966797, 'learning_rate': 7.126436781609196e-05, 'epoch': 1.44}
{'loss': 1.1428, 'grad_norm': 3.125659942626953, 'learning_rate': 7.015915119363395e-05, 'epoch': 1.49}
{'loss': 1.1402, 'grad_norm': 3.061265468597412, 'learning_rate': 6.905393457117595e-05, 'epoch': 1.55}
{'loss': 1.1387, 'grad_norm': 1.9368809461593628, 'learning_rate': 6.794871794871795e-05, 'epoch': 1.6}
{'loss': 1.1722, 'grad_norm': 2.03562068939209, 'learning_rate': 6.684350132625995e-05, 'epoch': 1.66}
{'loss': 1.1186, 'grad_norm': 2.470593214035034, 'learning_rate': 6.573828470380194e-05, 'epoch': 1.71}
{'loss': 1.1312, 'grad_norm': 2.446720600128174, 'learning_rate': 6.463306808134395e-05, 'epoch': 1.77}
{'loss': 1.1429, 'grad_norm': 2.8949759006500244, 'learning_rate': 6.352785145888595e-05, 'epoch': 1.82}
{'loss': 1.1458, 'grad_norm': 2.2358241081237793, 'learning_rate': 6.242263483642794e-05, 'epoch': 1.88}
{'loss': 1.156, 'grad_norm': 3.004615306854248, 'learning_rate': 6.131741821396995e-05, 'epoch': 1.93}
{'loss': 1.1799, 'grad_norm': 2.502588987350464, 'learning_rate': 6.021220159151194e-05, 'epoch': 1.99}
{'loss': 0.9225, 'grad_norm': 2.5409469604492188, 'learning_rate': 5.9106984969053937e-05, 'epoch': 2.04}
{'loss': 0.9365, 'grad_norm': 3.7036259174346924, 'learning_rate': 5.800176834659593e-05, 'epoch': 2.1}
{'loss': 0.8728, 'grad_norm': 4.314399242401123, 'learning_rate': 5.689655172413794e-05, 'epoch': 2.16}
{'loss': 0.8939, 'grad_norm': 3.615888833999634, 'learning_rate': 5.5791335101679934e-05, 'epoch': 2.21}
{'loss': 0.9146, 'grad_norm': 3.1789143085479736, 'learning_rate': 5.468611847922193e-05, 'epoch': 2.27}
{'loss': 0.8988, 'grad_norm': 3.463273525238037, 'learning_rate': 5.358090185676393e-05, 'epoch': 2.32}
{'loss': 0.9132, 'grad_norm': 4.690977096557617, 'learning_rate': 5.2475685234305924e-05, 'epoch': 2.38}
{'loss': 0.924, 'grad_norm': 2.1493418216705322, 'learning_rate': 5.137046861184792e-05, 'epoch': 2.43}
{'loss': 0.9276, 'grad_norm': 1.353953242301941, 'learning_rate': 5.0265251989389926e-05, 'epoch': 2.49}
{'loss': 0.9526, 'grad_norm': 3.420109748840332, 'learning_rate': 4.916003536693192e-05, 'epoch': 2.54}
{'loss': 0.9225, 'grad_norm': 2.8964617252349854, 'learning_rate': 4.8054818744473915e-05, 'epoch': 2.6}
{'loss': 0.9488, 'grad_norm': 2.4092202186584473, 'learning_rate': 4.694960212201592e-05, 'epoch': 2.65}
{'loss': 0.899, 'grad_norm': 3.8407671451568604, 'learning_rate': 4.584438549955792e-05, 'epoch': 2.71}
{'loss': 0.927, 'grad_norm': 2.7138638496398926, 'learning_rate': 4.473916887709991e-05, 'epoch': 2.76}
{'loss': 0.9545, 'grad_norm': 2.5897157192230225, 'learning_rate': 4.3633952254641914e-05, 'epoch': 2.82}
{'loss': 0.9219, 'grad_norm': 2.4727580547332764, 'learning_rate': 4.252873563218391e-05, 'epoch': 2.87}
{'loss': 0.9214, 'grad_norm': 2.199077606201172, 'learning_rate': 4.142351900972591e-05, 'epoch': 2.93}
{'loss': 0.948, 'grad_norm': 2.184492826461792, 'learning_rate': 4.031830238726791e-05, 'epoch': 2.98}
{'loss': 0.7905, 'grad_norm': 5.539719104766846, 'learning_rate': 3.9213085764809905e-05, 'epoch': 3.04}
{'loss': 0.7324, 'grad_norm': 3.706080913543701, 'learning_rate': 3.8107869142351907e-05, 'epoch': 3.09}
{'loss': 0.7367, 'grad_norm': 3.30073881149292, 'learning_rate': 3.70026525198939e-05, 'epoch': 3.15}
{'loss': 0.7106, 'grad_norm': 3.794304132461548, 'learning_rate': 3.58974358974359e-05, 'epoch': 3.21}
{'loss': 0.7243, 'grad_norm': 5.171307563781738, 'learning_rate': 3.47922192749779e-05, 'epoch': 3.26}
{'loss': 0.7265, 'grad_norm': 4.207098960876465, 'learning_rate': 3.368700265251989e-05, 'epoch': 3.32}
{'loss': 0.712, 'grad_norm': 2.4753592014312744, 'learning_rate': 3.258178603006189e-05, 'epoch': 3.37}
{'loss': 0.7342, 'grad_norm': 3.110718011856079, 'learning_rate': 3.147656940760389e-05, 'epoch': 3.43}
{'loss': 0.7511, 'grad_norm': 1.4746222496032715, 'learning_rate': 3.0371352785145892e-05, 'epoch': 3.48}
