{'loss': 1.213, 'grad_norm': 4.494624614715576, 'learning_rate': 9.652777777777779e-05, 'epoch': 0.1}
{'loss': 1.1001, 'grad_norm': 3.0565366744995117, 'learning_rate': 9.305555555555556e-05, 'epoch': 0.21}
{'loss': 1.1266, 'grad_norm': 4.717039108276367, 'learning_rate': 8.958333333333335e-05, 'epoch': 0.31}
{'loss': 1.1611, 'grad_norm': 1.547356128692627, 'learning_rate': 8.611111111111112e-05, 'epoch': 0.42}
{'loss': 1.17, 'grad_norm': 2.125659704208374, 'learning_rate': 8.263888888888889e-05, 'epoch': 0.52}
{'loss': 1.1079, 'grad_norm': 2.3157668113708496, 'learning_rate': 7.916666666666666e-05, 'epoch': 0.62}
{'loss': 1.1086, 'grad_norm': 1.4805232286453247, 'learning_rate': 7.569444444444445e-05, 'epoch': 0.73}
{'loss': 1.0864, 'grad_norm': 1.8918052911758423, 'learning_rate': 7.222222222222222e-05, 'epoch': 0.83}
{'loss': 1.0874, 'grad_norm': 2.4866433143615723, 'learning_rate': 6.875e-05, 'epoch': 0.94}
{'loss': 1.0265, 'grad_norm': 3.4796884059906006, 'learning_rate': 6.527777777777778e-05, 'epoch': 1.04}
{'loss': 0.882, 'grad_norm': 3.2000346183776855, 'learning_rate': 6.180555555555556e-05, 'epoch': 1.15}
{'loss': 0.8773, 'grad_norm': 2.7855772972106934, 'learning_rate': 5.833333333333334e-05, 'epoch': 1.25}
{'loss': 0.8347, 'grad_norm': 3.872676372528076, 'learning_rate': 5.486111111111112e-05, 'epoch': 1.35}
{'loss': 0.8595, 'grad_norm': 3.792356252670288, 'learning_rate': 5.138888888888889e-05, 'epoch': 1.46}
{'loss': 0.8723, 'grad_norm': 2.728883981704712, 'learning_rate': 4.791666666666667e-05, 'epoch': 1.56}
{'loss': 0.874, 'grad_norm': 1.0880687236785889, 'learning_rate': 4.4444444444444447e-05, 'epoch': 1.67}
{'loss': 0.8207, 'grad_norm': 2.701394557952881, 'learning_rate': 4.0972222222222225e-05, 'epoch': 1.77}
{'loss': 0.8992, 'grad_norm': 2.3616445064544678, 'learning_rate': 3.7500000000000003e-05, 'epoch': 1.88}
{'loss': 0.8571, 'grad_norm': 1.854133129119873, 'learning_rate': 3.402777777777778e-05, 'epoch': 1.98}
{'loss': 0.7094, 'grad_norm': 1.8654015064239502, 'learning_rate': 3.055555555555556e-05, 'epoch': 2.08}
{'loss': 0.6819, 'grad_norm': 4.78287410736084, 'learning_rate': 2.7083333333333332e-05, 'epoch': 2.19}
{'loss': 0.6817, 'grad_norm': 3.602069616317749, 'learning_rate': 2.361111111111111e-05, 'epoch': 2.29}
{'loss': 0.6867, 'grad_norm': 2.4209823608398438, 'learning_rate': 2.013888888888889e-05, 'epoch': 2.4}
{'loss': 0.6843, 'grad_norm': 5.836503505706787, 'learning_rate': 1.6666666666666667e-05, 'epoch': 2.5}
{'loss': 0.6721, 'grad_norm': 1.364030122756958, 'learning_rate': 1.3194444444444446e-05, 'epoch': 2.6}
{'loss': 0.6672, 'grad_norm': 2.685147762298584, 'learning_rate': 9.722222222222223e-06, 'epoch': 2.71}
{'loss': 0.6577, 'grad_norm': 4.03857946395874, 'learning_rate': 6.25e-06, 'epoch': 2.81}
{'loss': 0.6789, 'grad_norm': 3.246114730834961, 'learning_rate': 2.777777777777778e-06, 'epoch': 2.92}
{'train_runtime': 610.7283, 'train_samples_per_second': 23.578, 'train_steps_per_second': 23.578, 'train_loss': 0.8892925453186035, 'epoch': 3.0}
