{'loss': 1.0876, 'grad_norm': 2.3618319034576416, 'learning_rate': 9.652777777777779e-05, 'epoch': 0.1}
{'loss': 1.0658, 'grad_norm': 1.5729923248291016, 'learning_rate': 9.305555555555556e-05, 'epoch': 0.21}
{'loss': 1.0937, 'grad_norm': 2.725660562515259, 'learning_rate': 8.958333333333335e-05, 'epoch': 0.31}
{'loss': 1.1382, 'grad_norm': 1.417127013206482, 'learning_rate': 8.611111111111112e-05, 'epoch': 0.42}
{'loss': 1.1625, 'grad_norm': 2.1186540126800537, 'learning_rate': 8.263888888888889e-05, 'epoch': 0.52}
{'loss': 1.0997, 'grad_norm': 2.341749668121338, 'learning_rate': 7.916666666666666e-05, 'epoch': 0.62}
{'loss': 1.0941, 'grad_norm': 1.1924667358398438, 'learning_rate': 7.569444444444445e-05, 'epoch': 0.73}
{'loss': 1.0753, 'grad_norm': 2.2518928050994873, 'learning_rate': 7.222222222222222e-05, 'epoch': 0.83}
{'loss': 1.0754, 'grad_norm': 2.256873607635498, 'learning_rate': 6.875e-05, 'epoch': 0.94}
{'loss': 1.0096, 'grad_norm': 3.1143569946289062, 'learning_rate': 6.527777777777778e-05, 'epoch': 1.04}
{'loss': 0.8487, 'grad_norm': 3.2910704612731934, 'learning_rate': 6.180555555555556e-05, 'epoch': 1.15}
{'loss': 0.8385, 'grad_norm': 3.3163559436798096, 'learning_rate': 5.833333333333334e-05, 'epoch': 1.25}
{'loss': 0.8016, 'grad_norm': 2.409459114074707, 'learning_rate': 5.486111111111112e-05, 'epoch': 1.35}
{'loss': 0.8254, 'grad_norm': 4.230809688568115, 'learning_rate': 5.138888888888889e-05, 'epoch': 1.46}
{'loss': 0.8306, 'grad_norm': 3.0320005416870117, 'learning_rate': 4.791666666666667e-05, 'epoch': 1.56}
{'loss': 0.8343, 'grad_norm': 0.8737941384315491, 'learning_rate': 4.4444444444444447e-05, 'epoch': 1.67}
{'loss': 0.7888, 'grad_norm': 2.827692747116089, 'learning_rate': 4.0972222222222225e-05, 'epoch': 1.77}
{'loss': 0.8592, 'grad_norm': 2.392857789993286, 'learning_rate': 3.7500000000000003e-05, 'epoch': 1.88}
{'loss': 0.8362, 'grad_norm': 1.8559681177139282, 'learning_rate': 3.402777777777778e-05, 'epoch': 1.98}
{'loss': 0.6449, 'grad_norm': 2.3626973628997803, 'learning_rate': 3.055555555555556e-05, 'epoch': 2.08}
{'loss': 0.6357, 'grad_norm': 4.334113597869873, 'learning_rate': 2.7083333333333332e-05, 'epoch': 2.19}
{'loss': 0.634, 'grad_norm': 3.584740400314331, 'learning_rate': 2.361111111111111e-05, 'epoch': 2.29}
{'loss': 0.64, 'grad_norm': 3.572999954223633, 'learning_rate': 2.013888888888889e-05, 'epoch': 2.4}
{'loss': 0.6354, 'grad_norm': 7.534826278686523, 'learning_rate': 1.6666666666666667e-05, 'epoch': 2.5}
{'loss': 0.6296, 'grad_norm': 1.4019476175308228, 'learning_rate': 1.3194444444444446e-05, 'epoch': 2.6}
{'loss': 0.6301, 'grad_norm': 2.6981050968170166, 'learning_rate': 9.722222222222223e-06, 'epoch': 2.71}
{'loss': 0.6204, 'grad_norm': 3.9552531242370605, 'learning_rate': 6.25e-06, 'epoch': 2.81}
{'loss': 0.6366, 'grad_norm': 3.85296893119812, 'learning_rate': 2.777777777777778e-06, 'epoch': 2.92}
{'train_runtime': 570.1913, 'train_samples_per_second': 25.255, 'train_steps_per_second': 25.255, 'train_loss': 0.8530251873864068, 'epoch': 3.0}
